"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1991","Exports","Ontario","Michigan","107628.9000","2346688.0400","21.80"
"1991","Exports","Ontario","New York","2183376.0980","60965379.2000","26.32"
"1991","Exports","Ontario","Total","2314216.9980","65170325.4400","26.14"
"1991","Exports","Ontario","Vermont","23212.0000","1858258.2000","28.75"
"1991","Exports","Québec","Maine","1135.8800","76565.1300","67.41"
"1991","Exports","Québec","New England-ISO","3222945.0000","72026150.9000","22.33"
"1991","Exports","Québec","New Hampshire","2.0200","160.2800","79.35"
"1991","Exports","Québec","New York","1075447.0000","38672712.7600","26.83"
"1991","Exports","Québec","Total","5771050.9000","169244279.7600","23.75"
"1991","Exports","Québec","Vermont","1471521.0000","58468690.6900","24.60"
"1991","Exports","Saskatchewan","North Dakota","58646.0000","685417.4700","11.69"
"1991","Exports","Saskatchewan","Total","58646.0000","685417.4700","11.69"
"1991","Exports","Total","Alaska","662.5200","58569.0000","88.40"
"1991","Exports","Total","California","3028885.0000","74715376.0600","24.67"
"1991","Exports","Total","Idaho","144321.0000","1840090.1700","12.75"
"1991","Exports","Total","Maine","1343695.0110","51791720.9000","37.79"
"1991","Exports","Total","Massachusetts","1743531.0000","93429176.0000","53.59"
"1991","Exports","Total","Michigan","107628.9000","2346688.0400","21.80"
"1991","Exports","Total","Minnesota","3120974.9480","55418668.0100","16.44"
"1991","Exports","Total","Montana","25432.0000","270729.2500","10.65"
"1991","Exports","Total","Nevada","7950.0000","140080.1200","17.62"
"1991","Exports","Total","New England-ISO","3222945.0000","72026150.9000","22.33"
"1991","Exports","Total","New Hampshire","2.0200","160.2800","79.35"
"1991","Exports","Total","New York","3258823.0980","99638091.9600","26.49"
"1991","Exports","Total","North Dakota","253543.0000","4748855.3100","18.73"
"1991","Exports","Total","Oregon","1322963.0000","24176609.3000","18.27"
"1991","Exports","Total","Total","19815289.2350","559123646.1000","26.10"
"1991","Exports","Total","Vermont","1494733.0000","60326948.8900","24.66"
"1991","Exports","Total","Washington","739199.7380","18195731.9100","24.62"
"1991","Imports","Maine","New Brunswick","55633.0000","1304068.2700","23.30"
"1991","Imports","Maine","Total","55633.0000","1304068.2700","23.30"
"1991","Imports","Michigan","Ontario","553719.3000","24772770.8500","44.74"
"1991","Imports","Michigan","Total","553719.3000","24772770.8500","44.74"
"1991","Imports","Minnesota","Manitoba","217314.0000","2810855.4300","12.93"
"1991","Imports","Minnesota","Ontario","51341.0000","1020188.1400","19.87"
"1991","Imports","Minnesota","Total","268655.0000","3831043.5700","14.26"
"1991","Imports","Montana","British Columbia","196.0000","10358.3900","52.85"
"1991","Imports","Montana","Total","196.0000","10358.3900","52.85"
"1991","Imports","New England-ISO","Québec","373569.0000","9526436.5500","25.50"
"1991","Imports","New England-ISO","Total","373569.0000","9526436.5500","25.50"
"1991","Imports","New York","Ontario","109514.0000","7159504.9500","65.38"
"1991","Imports","New York","Québec","92207.0000","19231888.9400","140.64"
"1991","Imports","New York","Total","201721.0000","26391393.8900","99.78"
"1991","Imports","North Dakota","Manitoba","44707.0000","585596.8400","13.10"
"1991","Imports","North Dakota","Saskatchewan","45750.0000","2610160.8300","50.41"
"1991","Imports","North Dakota","Total","90457.0000","3195757.6700","31.97"
"1991","Imports","Total","Alberta","2653.0000","110618.9100","41.70"
"1991","Imports","Total","British Columbia","498.0000","18046.3900","36.24"
"1991","Imports","Total","Manitoba","262021.0000","3396452.2700","12.96"
"1991","Imports","Total","New Brunswick","55633.0000","1304068.2700","23.30"
"1991","Imports","Total","Ontario","714574.3000","32952463.9400","46.11"
"1991","Imports","Total","Québec","606821.0000","34754428.2700","46.71"
"1991","Imports","Total","Saskatchewan","45750.0000","2610160.8300","50.41"
"1991","Imports","Total","Total","1687950.3000","75146238.8800","40.54"
"1991","Imports","Vermont","Québec","141045.0000","5996102.7800","41.49"
"1991","Imports","Vermont","Total","141045.0000","5996102.7800","41.49"
"1991","Imports","Washington","Alberta","2653.0000","110618.9100","41.70"
"1991","Imports","Washington","British Columbia","302.0000","7688.0000","25.46"
"1991","Imports","Washington","Total","2955.0000","118306.9100","40.04"
"1992","Exports","British Columbia","Alaska","529.9200","57369.0000","108.26"
"1992","Exports","British Columbia","California","1009856.0000","23551082.3700","23.32"
"1992","Exports","British Columbia","Idaho","263031.0000","6838679.2800","26.00"
"1992","Exports","British Columbia","Montana","17091.0000","341054.9000","19.96"
"1992","Exports","British Columbia","Nevada","20448.0000","659067.7900","32.23"
"1992","Exports","British Columbia","Oregon","890254.0000","22402487.8000","25.16"
"1992","Exports","British Columbia","Total","7474482.2140","193963335.8200","25.95"
"1992","Exports","British Columbia","Washington","5273272.2940","140113594.6800","26.57"
"1992","Exports","Manitoba","Minnesota","5455075.6250","86083622.8800","14.65"
"1992","Exports","Manitoba","North Dakota","602677.0000","9615541.9100","15.40"
"1992","Exports","Manitoba","Total","6057752.6250","95699164.7900","14.72"
"1992","Exports","New Brunswick","Maine","972636.4640","41879861.6000","42.01"
"1992","Exports","New Brunswick","Massachusetts","757210.0000","46565831.0000","61.50"
"1992","Exports","New Brunswick","Total","1729846.4640","88445692.6000","50.54"
"1992","Exports","Ontario","Michigan","83495.2760","1696872.6100","20.32"
"1992","Exports","Ontario","Minnesota","15400.0000","745128.9100","26.97"
"1992","Exports","Ontario","New York","1903425.6670","51388782.3200","26.18"
"1992","Exports","Ontario","Total","2055962.9430","59230054.9700","25.96"
"1992","Exports","Ontario","Vermont","53642.0000","5399271.1300","26.51"
"1992","Exports","Québec","Maine","917.4650","65538.9200","71.43"
"1992","Exports","Québec","New England-ISO","5413912.0000","119406586.5600","22.06"
"1992","Exports","Québec","New York","1626684.0000","62339786.5600","30.37"
"1992","Exports","Québec","Total","8826668.4650","258873155.6800","23.99"
"1992","Exports","Québec","Vermont","1785155.0000","77061243.6400","24.02"
"1992","Exports","Saskatchewan","North Dakota","79485.0000","1697228.7700","21.35"
"1992","Exports","Saskatchewan","Total","79485.0000","1697228.7700","21.35"
"1992","Exports","Total","Alaska","529.9200","57369.0000","108.26"
"1992","Exports","Total","California","1009856.0000","23551082.3700","23.32"
"1992","Exports","Total","Idaho","263031.0000","6838679.2800","26.00"
"1992","Exports","Total","Maine","973553.9290","41945400.5200","42.04"
"1992","Exports","Total","Massachusetts","757210.0000","46565831.0000","61.50"
"1992","Exports","Total","Michigan","83495.2760","1696872.6100","20.32"
"1992","Exports","Total","Minnesota","5470475.6250","86828751.7900","14.68"
"1992","Exports","Total","Montana","17091.0000","341054.9000","19.96"
"1992","Exports","Total","Nevada","20448.0000","659067.7900","32.23"
"1992","Exports","Total","New England-ISO","5413912.0000","119406586.5600","22.06"
"1992","Exports","Total","New York","3530109.6670","113728568.8800","28.11"
"1992","Exports","Total","North Dakota","682162.0000","11312770.6800","16.09"
"1992","Exports","Total","Oregon","890254.0000","22402487.8000","25.16"
"1992","Exports","Total","Total","26224197.7110","697908632.6300","24.31"
"1992","Exports","Total","Vermont","1838797.0000","82460514.7700","24.09"
"1992","Exports","Total","Washington","5273272.2940","140113594.6800","26.57"
"1992","Imports","Maine","New Brunswick","56377.8000","992032.3700","17.50"
"1992","Imports","Maine","Total","56377.8000","992032.3700","17.50"
"1992","Imports","Michigan","Ontario","314833.2000","9357423.5000","29.72"
"1992","Imports","Michigan","Total","314833.2000","9357423.5000","29.72"
"1992","Imports","Minnesota","Ontario","45502.0000","775600.4400","17.05"
